gene_id,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0239042,6093,5307,4904,6235,5775,30598,6603,6534,7196,7249,6424,5915
FBgn0239043,228,110,131,132,70,413,305,413,365,57,58,71
FBgn0234531,2004,1871,1549,2148,2003,9920,2143,2220,2541,2470,2020,1982
FBgn0239953,382,338,340,570,408,2573,360,339,361,617,441,389
FBgn0240563,2,8,4,8,6,16,8,3,4,0,8,20
FBgn0240562,4,0,0,3,0,13,9,2,0,2,4,5
FBgn0240561,0,6,2,19,11,65,10,12,15,5,15,13
FBgn0240560,2,0,0,0,0,2,6,0,0,0,0,3
FBgn0240567,158,103,83,69,48,202,251,296,208,36,45,54
FBgn0240566,5002,4679,4102,4026,3588,18089,4529,4821,5372,4218,3497,3345
FBgn0240565,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0240569,65859,56200,54586,66193,55297,281239,69801,72943,78228,64206,56857,50301
FBgn0240568,0,0,0,0,0,0,3,0,0,0,0,0
FBgn0233869,2,4,0,5,0,5,11,0,5,2,4,0
FBgn0237348,0,0,0,17,0,0,2,0,0,23,0,0
FBgn0235926,1419,1247,1056,1848,1599,8882,1458,1487,1633,2174,1802,1812
FBgn0230227,416,322,402,535,380,1963,507,422,418,569,315,381
FBgn0230226,76,94,144,18,15,69,92,148,164,26,15,11
FBgn0230225,39,39,28,400,281,1388,42,25,41,306,324,266
FBgn0230224,4712,6148,4804,9270,8254,46915,7303,6592,8438,7034,8399,8045
FBgn0230223,21221,20217,17761,21083,20010,109775,22305,24546,29698,18951,22667,20027
FBgn0230222,440,343,306,422,309,1793,380,370,406,415,366,327
FBgn0230220,2463,2349,2093,2104,1964,10083,2378,2764,3059,2336,2177,1716
FBgn0276895,5,6,0,0,0,6,4,8,9,3,0,3
FBgn0236853,240,201,228,57,42,226,331,324,319,46,39,24
FBgn0230229,6097,5269,4863,5570,4228,22829,6748,6103,7057,6414,5052,4564
FBgn0230228,5124,4487,4077,4166,3808,20851,5037,5033,5568,4976,4104,4014
FBgn0238415,5420,4768,4041,4843,4915,26044,5645,5742,6175,4331,5136,5249
FBgn0238416,1817,1530,1356,1422,1221,6535,1578,1704,1827,1510,1327,1299
FBgn0238417,6857,4579,5296,4365,3611,21953,6449,6060,6679,5268,4515,3738
FBgn0238410,4968,4364,3907,5354,4326,24194,5111,5612,5476,6230,4861,3989
FBgn0238411,0,3,0,0,0,0,5,0,0,0,0,0
FBgn0238412,0,0,0,0,0,0,22,0,0,0,0,0
FBgn0238413,23,2,10,2,2,21,4,8,0,0,4,2
FBgn0258342,2,0,0,0,2,2,0,2,0,2,0,0
