genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0238981,14.979519,22.619389,21.156574,31.684933,35.005035,38.051853,26.727781,26.478661,26.371788,22.846544,34.518803,39.610928
FBgn0238982,6.277511,7.132149,5.495568,2.224363,2.678814,3.756452,4.456137,6.108979,5.735862,2.256077,3.648594,5.007168
FBgn0238983,0,0,0,0,0,0,0.076244,0,0,0,0,0
FBgn0238984,0,0.048942,0.184984,0.289687,0.634402,0.273282,0.294564,0.072033,0.078482,0.403552,0.2294,0.297512
FBgn0238985,3.837045,3.393757,3.76175,2.620799,25.466204,1.802803,3.390744,2.891309,4.059626,2.622862,2.198456,1.322899
FBgn0238986,3.934792,4.648443,3.079178,0.220507,0.102912,0.252683,2.845644,2.968894,3.797382,0.106091,0.173641,0.267879
FBgn0238989,160.891693,152.800919,154.393204,169.957977,165.920715,171.44809,138.020065,146.809097,140.183258,167.936172,149.910217,146.857117
FBgn0238991,0,0,0,0,0,0.007755,0.067475,0,0,0,0,0
FBgn0238992,0,0,0,0,0,0,0.240402,0,0,0,0,0
FBgn0238993,0.08604,0.550261,0,0.363555,0.096965,0.211844,0.765069,0.041154,0.061199,0.141893,0.181642,0.170649
FBgn0238995,151.699753,188.591202,202.428024,253.926727,181.829575,285.333038,161.715363,226.073547,227.002228,173.10173,246.10643,251.435043
FBgn0238996,19.226419,19.151966,16.696394,16.214342,15.268324,17.534225,18.255558,16.317612,17.76391,17.851393,16.838629,16.88438
FBgn0238997,13.31094,11.865035,18.328733,7.908742,6.052472,6.55221,15.477922,20.751945,12.885649,9.850926,9.919414,8.430079
FBgn0238998,60.04097,62.073086,63.003941,68.173523,79.655876,67.819641,71.408493,63.722507,61.524311,61.126144,55.083832,57.97205
FBgn0238999,43.321346,42.122005,45.897511,43.543724,56.661556,55.489758,42.458858,43.501297,46.17091,40.96949,53.868877,57.530392
