MS_sp MS_st
0.9322058447 0.2995624813
3.7311971548 0.0603516407
5.3745582667 0.7267300466
15.709626699 0.20005673
1.0808453405 0.2235415935
5.8817855069 3.1393310579
4.060317714 0.2553601779
1.3617334466 1.9772640161
1.0277107899 3.7589321453
4.0335498455 1.9256100664
1.8136591436 0.2493153958
1.4444109706 0.4119179819
0.2212525571 0.5497150634
2.7492757869 0.128014772
7.2039106107 0.3572408772
2.2181440391 0.0495892207
1.7400509493 0.1499708892
2.310597759 0.325201768
9.3944157585 0.2923762572
3.3620609579 7.148967094
3.5930684601 0.262975055
0.297274837 0.4815411912
0.9466665503 4.9767907687
2.0328350269 0.3501543542
0.8708544112 0.2432731663
41.47273602 2.3798798764
19.641247154 1.5878761278
1.06248335 0.0554225714
2.2714739791 0.183561395
0.3201913169 1.1688119221
0.6660693848 1.3537571388
0.0308028519 3.3528843449
17.946246796 6.9761552609
2.1226605925 0.6204882537
1.6127044332 0.3456456426
0.849889602 0.7892493653
0.8615594076 0.1320897104
3.7220939152 0.3852258109
8.839418479 0.1673086896
3.1339602801 0.1284279275
2.7504319786 1.5138391537
3.103205949 0.0593524369
9.134165128 0.022743677
1.0720613096 0.759295797
2.9874545863 0.1774091925
1.4268669096 0.1850110298
2.5268335908 0.3365239521
1.6814153093 0.2386327454
2.9590508516 0.3044957067
11.28650492 0.1976668518
2.0421579464 0.137303392
0.92742078 0.0705603596
0.738284993 0.1082530212
3.0712246916 0.0440585226
0.5973897021 0.0885167223
0.4163940071 0.3370066355
31.087745248 4.8500682713
1.891782385 0.2437634409
5.7624075769 0.9815305594
0.0084429661 2.6390946484
3.5626563631 0.3376251804
9.3255754481 1.2152019298
1.6837691099 0.5207132392
0.8221499197 0.7428718875
4.1680124481 0.330853231
15.895395716 0.0304869797
0.1954819372 0.4633315998
3.9434175171 0.2858144876
2.5978894958 0.2864995824
9.5770072144 0.0870735173
0.0893209766 0.5972304221
2.0023258032 0.4956205159
4.8865361931 0.1090083861
9.1875092838 0.3249503091
1.9115242357 0.5892194888
2.731540714 11.902787774
2.5313075622 0.1584034605
26.495304156 0.3588820907
0.8493810003 0.4926540897
1.2235478955 0.1996110039
2.0825151115 0.1551021067
0.6916783642 0.3727944476
1.4561858728 0.2261055403
0.6844715384 0.1900439147
2.4263693596 0.6656160203
3.5314139942 0.3225710146
5.6676764735 0.0454834838
2.3307838054 0.0746252114
3.9872694018 0.4049493934
3.331810498 0.3392616786
30.619912931 2.0856409665
14.057210595 0.1753800392
8.5589159627 0.2136851292
0.7097356514 0.6504158597
1.3920131885 1.0404520929
2.1110778545 0.1812407174
1.509973724 0.5028866279
20.010545902 4.2554564137
0.9136068756 0.1791411489
62.533351965 1.4693633677
0.5194612549 0.5139170977
5.1365326217 0.0405579076
1.8516261614 0.1531976197
0.9362798403 1.0432153508
1.2253630639 0.4171115947
0.7689569739 1.4260585757
2.2273426534 0.1744224624
1.7902686287 0.2604148665
28.045468952 2.055334978
7.6922103377 0.0796386135
3.4538509451 0.2731204659
5.2293710254 0.2215054887
2.6112583812 0.2691673535
2.1143674868 0.7477648057
2.9886959616 0.0388072294
3.8124849826 0.5132607632
3.0986312933 2.7244026289
6.4982469013 0.9644909282
8.3358146041 0.1348762833
11.963180181 0.7620472154
0.0066303617 0.4756405181
0.0115697199 2.0126439231
9.4799296787 0.2283546492
3.0922097547 0.1389597757
0.2833350484 0.2218667567
1.8051136874 0.1627555876
4.3812098723 1.1521806156
0.0916446432 0.4266268406
2.8265943368 0.2086134427
2.1514324997 0.2224834458
4.3858097607 0.1354859152
1.2736694763 0.1788734581
0.8586441392 0.2136568523
4.1380947207 0.2646425772
4.5130003327 0.0419709576
2.0778603119 0.1510115872
3.1990753905 0.0539756113
1.2136295105 0.472064485
63.953048008 2.5342964794
1.9048191152 0.2560803256
5.7744434413 0.4492343118
2.0047587874 0.2518457064
1.5015245622 0.127460586
1.8722145825 1.7952822511
1.7790595631 0.1738208207
1.9195034576 0.1905233815
0.9291615344 0.5728789888
9.5214944184 1.4330054557
0.9466110361 0.7916214674
26.924794519 2.2592657033
7.088893504 0.1210044175
3.5075931956 0.062562523
0.2408495432 0.2953301691
17.089772833 1.3956355968
0.9890324974 0.7898740834
4.9791948876 0.818348899
4.3437664301 2.1404640823
1.0950718969 0.4968685425
1.5820119522 0.0488207484
5.6275330915 0.5907946758
0.0887110432 0.4683353618
0.0586903114 0.3302711085
2.311800688 0.9993166356
22.65459438 0.5779716979
3.1528397398 0.8711880321
0.4963245734 0.5403242549
9.686644227 0.3653674541
2.1885531018 0.1527579057
0.9829090527 0.3461550241
18.37337438 0.7794972343
4.5100224023 0.2092949311
1.3702752896 0.1740634522
4.3373675626 0.5780453729
1.9837996601 0.155866567
0.3553587943 0.3270183858
2.8700472937 0.0404758236
2.3659168333 0.2659776378
5.3839871922 7.8871025741
20.26976773 5.7030666867
3.4745830933 0.2844167601
4.2832578146 0.5577357275
3.5208593502 3.0944979251
4.8916282932 1.2645665081
0.4213201551 0.9791659422
0.8988629567 0.7999873946
3.6162336559 0.1642258864
1.7149929036 0.0717591035
4.4132582275 0.1531838628
5.3426018231 0.8097886153
0.8626534728 0.3173028245
11.757650363 0.2518194436
1.5128991238 0.143430811
2.5710693841 0.1877572767
15.568003613 1.1458054178
7.245202675 0.4981277275
3.2800400239 0.0846854052
0.5277336719 0.7733545896
3.9080210707 0.2492249205
6.7686030397 0.2249931222
5.8744811118 0.2185332038
3.8175783732 0.6199105133
1.801545978 0.374078645
2.2196455423 0.3354601174
2.2176901222 0.0909029231
7.1101903565 0.116253168
16.402486853 2.3189836414
0.9405639749 0.3430443186
4.8511159011 0.3194364283
0.3965961251 0.2203424446
1.6951003566 0.7863225699
4.0677102375 0.44077996
3.4662156224 0.1476435963
15.111760107 1.9858417015
0.311953856 0.7583985163
0.796209334 0.287068267
2.6653808861 0.3680579049
1.522477681 0.4186280605
5.0425706576 0.7321729198
5.9595934003 0.4686019831
4.0532775226 0.4292472345
1.3109754813 0.4534257864
4.8848344974 0.9709805711
0.7991927504 0.3274438148
2.462676957 0.2187183973
2.7979462956 0.2684855924
36.088252708 1.8083006656
0.5865485062 0.6491863161
2.8649396636 0.3416670609
0.0077809523 0.4170461569
5.1081871068 0.4000870338
1.5760277774 0.38871814
1.3860715235 1.3062333311
8.4174093338 0.3374331696
2.7696447125 0.3035207854
0.5003990825 0.5154721759
2.2600294564 0.068716447
7.3530402987 2.6189278869
27.532760295 1.0293028943
3.2249847477 0.1664724548
1.742605955 0.6516763966
1.8557674972 0.3011348011
1.1737122914 0.6914585478
2.4706811268 0.5172944428
2.9117838078 0.4452761165
2.2677958845 0.7975506226
2.9976372899 0.1082029199
0.0805937863 0.4837201367
0.5000699893 0.106137652
13.623459447 0.3228987562
14.889148628 0.4599569115
2.1965829271 0.2886928677
3.0675823737 0.0785256009
2.3401150727 0.1946355254
5.8874899475 2.5349804347
1.0704347929 0.264114098
1.6880781764 1.0523799905
1.9824898554 0.2501802331
2.3348011173 0.5196001354
0.2411435969 0.1518488879
2.1114611124 0.6260439552
4.4201271287 0.1742993021
25.575553223 3.5984729611
13.982939231 0.1624961191
3.3679069717 0.1952825945
3.0761243118 0.0847522874
8.2421027528 0.6439232263
4.570449947 0.1611235561
2.0971411522 0.1041336202
1.6250843766 0.469996504
0.0235195159 0.7070268072
0.9287671402 0.4912966222
1.6989586878 0.2771784536
3.1296987596 0.0737442773
16.124746225 2.0082167264
1.8112964484 0.1867682162
3.0752009083 1.907759228
0.8700812088 0.3440796383
2.9623686806 0.1010661129
2.9516270372 0.0866824428
1.0298877142 0.3997395368
1.5150806653 0.2726727862
0.0994482882 0.2080702232
7.7768650962 0.0595038683
0.5044383061 0.7598169336
1.3963177696 0.1961469368
3.40929387 0.288666011
0.907382492 0.3946346035
2.6806003053 0.1864565402
2.9992820455 0.1758762895
2.0449024327 0.1812823973
1.4350978437 0.359770566
1.6306787214 1.5447418393
0.5842716733 3.4849420681
1.7795120458 0.9934442324
2.1166047296 0.2552447345
1.1854765901 0.2126065734
0.5954546827 0.3639368587
2.502428591 0.9189615354
0.3236118336 1.537928707
2.4313669734 0.1846035346
4.6504601061 0.2825429371
2.6207928451 0.3833447249
0.9133128025 0.2325691789
2.5619436508 0.1328862565
5.9173215298 0.0526729519
4.3866801096 0.2636559357
4.6862241384 0.0583871049
4.5561407879 0.1831766222
0.7847153003 0.4600892292
0.2441648835 0.2150266639
3.4703297231 0.2465157453
6.5601640827 1.1161670878
1.9767707062 0.2658489322
1.8130789031 0.3500693933
1.9739238536 0.8220094544
2.4420570932 0.350775379
0.2553078453 0.2730982948
2.2133092095 0.2627449655
9.5950058286 0.1539692407
3.639799962 0.0272473125
0.4143995821 0.523829978
3.1656948644 0.3274798488
2.4586836263 0.7974675596
2.8626548845 0.208527171
1.2149220278 0.2676823414
0.6842750582 0.4643815111
4.7509891146 0.0551857258
0.732481643 0.1838006201
4.9400370848 0.4282579308
1.9822437103 0.2001181193
0.9245083018 0.2952883754
14.236747791 0.0361082532
0.8869870709 0.1190499485
3.916205367 0.0746371091
1.4239833619 0.2133968968
20.997821255 3.4279716004
0.7572301388 0.9227996798
3.1602434831 0.0813452431
5.2104509081 0.0988814368
1.0508481351 0.4129420221
4.5558121878 0.1431576473
9.0035169927 0.1115492065
1.8413807947 0.3438900189
1.5346814915 0.3510818248
0.0636573896 0.3193423779
1.1492267135 0.2746259213
0.1120950401 0.353416597
2.5054677953 1.8382896145
5.2336858358 0.358773817
1.4514872097 0.1873045149
2.3620146353 0.6676813007
1.0231694385 0.392856966
2.7491172501 0.6354862906
1.9767291829 0.2981752761
0.4131596855 0.3882398626
5.5769149366 0.5845483292
0.9877559436 0.2023036466
3.3128781793 0.376170651
1.7244079835 0.1932033582
0.49859534 0.3050718544
0.5384070077 0.1765907186
0.7514768132 0.4301854854
13.997684291 2.8359994178
5.4557696757 0.1087005823
4.6553099304 0.2085508791
1.2399533267 0.9051001747
4.9165589407 5.9822304391
21.263110548 0.5964289197
7.479010564 6.6699430972
2.2482644469 0.5872702858
4.6595598229 0.171883131
2.6877375486 0.2978352977
1.3709116628 0.2954420268
8.4094174447 0.8125498568
2.2723584431 0.2243659442
5.0385510958 3.7397613126
2.2549343693 0.2042636353
1.9935370146 0.1816601564
3.079781439 0.0306890879
32.765499152 0.1264591343
3.7629562197 0.064303984
3.5926904961 0.1619423774
0.4005537036 0.3876156472
1.0432954269 6.6305175009
0.2883923376 0.9570263833
7.8372119649 1.4190261388
2.206874071 0.4758240982
6.4609978776 1.5149233504
4.2393854497 1.4989296253
0.820637371 0.4332890654
30.667709898 2.6659529288
0.2493123641 0.2917416065
8.5149899229 0.6628390609
7.4399453137 0.1487396085
3.4004898901 0.428650201
0.5345124711 0.1777937848
1.0735461039 0.3492422942
3.7731134424 1.3584050164
3.6852302324 0.1672285498
2.5108665621 0.1515764398
2.9184024438 0.5602553602
7.7348565829 0.1677524198
19.966632876 5.5418230409
2.4521649963 0.4007406285
0.6403994955 0.7380363684
2.1073810236 0.4422223638
3.1609662027 0.0570642151
3.4926178324 0.0657351299
2.9532703082 0.1005282048
4.5722001574 3.9228962579
