MS_sp MS_st
2.4789077097 0.0897548991
26.093093857 0.642796508
2.2614498517 0.3961382348
2.809300088 0.1654787937
12.77181982 2.1929497969
2.0674733003 0.377951614
3.0638126563 0.1471647471
5.5845680706 0.1362709839
0.1132429719 0.7677329913
3.7610609982 0.1027512406
5.9177313844 0.1376422199
4.848918936 0.0318423673
0.8895244862 0.4577176368
2.8291041925 0.4085367727
0.4009615169 0.5149503981
7.0797625991 1.7571698484
2.2676295708 0.0791797882
0.0096711394 0.5989023357
3.6739128289 0.201500728
3.4047767243 0.0702095197
4.7036439094 0.0608570585
4.0915212676 1.4234360773
1.2285853543 0.4034975402
6.095477379 0.1182073789
2.1235717127 0.6493412731
14.616514791 0.1206807368
0.643376643 0.1618818227
5.2515863127 0.2576082504
0.7199696857 0.3942455901
0.0110925707 0.8384821119
3.1571394689 0.024182744
2.8797887593 0.5022685539
1.5129543589 0.5205096208
1.3654570395 0.0676123408
3.4192260557 0.1887399219
5.7607090321 0.2241132285
0.6689715251 0.8743966644
3.1404216681 0.14152165
3.7234216054 0.1129330315
2.7879074943 0.270663821
5.847039185 1.0952102181
3.5348092263 0.5041776757
7.5792974081 0.3130774595
0.4593652041 0.3923804716
2.9484880807 0.3167037035
5.1399092807 0.2483202614
0.6671689232 0.2393772274
1.1085849032 0.4146643887
1.7168720896 0.1259455998
6.850219596 0.2770567597
2.256188569 3.0348265181
1.7605582279 0.284673932
5.6053236044 0.1478514614
28.552317599 4.0149122396
5.6713640988 6.218818725
1.359614105 0.8349139551
0.4507137723 0.4419597952
2.5519331758 6.621819753
4.9267035893 0.2127158433
1.5123823414 0.1931957228
0.9670070725 0.3703702634
2.0090168028 0.6699429444
0.2560902383 0.1282780464
10.053083616 0.0804704245
2.1394919587 0.4289497244
1.317019559 0.3978917584
1.5767521042 0.2637731452
0.7628249594 0.5426202772
1.7691864496 1.612017859
16.222352972 0.2570585165
3.0172421243 0.8547917376
6.0187087468 0.7643089435
0.4927215606 0.4920245231
0.7704837135 0.2538438145
1.7879880717 4.9366895054
5.8031054983 0.2268712701
2.5029490918 0.9517109613
7.4373027292 0.924260408
4.9251262626 0.2483564636
2.3305828998 0.2498476324
2.0237867761 0.1925279124
2.3000100138 0.0946461085
3.9816413661 0.0287087497
0.4895060185 0.468797344
2.2305661786 1.4275666335
1.4507856316 0.3938153166
33.188124544 1.1818459823
9.3532063116 1.1480999241
6.4644831389 0.1367636659
3.3976408926 0.4160435232
0.3176395331 0.3926537738
9.5891579203 0.2339278441
9.4846143154 0.0510542168
4.0666120909 1.3869066681
15.526615303 0.1659654167
2.8326585784 0.4781783408
19.721762419 0.0988634883
2.2650043533 0.0977463163
3.3400534479 0.0980068838
0.6974158603 0.1580687519
2.7010703138 0.3731502674
4.3782664595 1.0617385046
15.420628604 0.6103823199
0.5553577516 0.3392906485
