"","gene_id","seqnames","l2fc","qval","sex"
"965","FBgn0193468","Scf_2L",-0.302263470407563,0.000643072199077716,"f"
"966","FBgn0193470","Scf_2L",0.139707361695294,0.0396592960356597,"m"
"967","FBgn0193480","Scf_2L",0.261355983541481,0.00359150104932949,"m"
"968","FBgn0193498","Scf_2L",0.183576680309557,0.000381031658814292,"m"
"969","FBgn0193509","Scf_2L",-0.145401360777244,0.000416275066862441,"f"
"970","FBgn0193539","Scf_2L",0.113963992213934,0.0477281614281755,"m"
"971","FBgn0193552","Scf_2L",0.14302152466918,0.0446306112277742,"m"
"972","FBgn0193577","Scf_2L",-0.191909235531678,4.36663980287593e-05,"f"
"973","FBgn0193607","Scf_2L",-0.133462401025086,0.0417870695731391,"f"
"974","FBgn0193616","Scf_2L",0.317940999289873,0.00120548956655234,"m"
"975","FBgn0193627","Scf_2L",0.20960767489856,0.00188026034734692,"m"
"976","FBgn0193628","Scf_2L",3.15232485131321,0.0204491417347532,"m"
"977","FBgn0193631","Scf_2L",-0.17095905838643,0.00780492559772373,"f"
"978","FBgn0193640","Scf_X",0.57103407739606,0.000165679757353661,"m"
"979","FBgn0193666","Scf_2L",0.238348242213806,0.00330153676463761,"m"
"980","FBgn0193675","Scf_2L",0.110725312918143,0.0190163717845632,"m"
"981","FBgn0193679","Scf_2L",-0.273283289001999,0.00298915822998662,"f"
"982","FBgn0193695","Scf_2L",-0.352811790628842,0.00025958295223179,"f"
"983","FBgn0193696","Scf_2L",0.167836868679437,0.0126907017392538,"m"
"984","FBgn0193698","Scf_2L",-0.239227536254623,0.00113222716869494,"f"
"985","FBgn0193700","Scf_2L",-0.268128730241224,0.0114167339503203,"f"
"986","FBgn0193701","Scf_2L",-0.147302465127857,0.0389275931025352,"f"
"987","FBgn0193708","Scf_2L",-0.407183129061666,0.0323118060426426,"f"
"988","FBgn0193733","Scf_4",-0.25479322312047,0.0136494314827975,"f"
"989","FBgn0193740","Scf_2L",-0.389524252046766,0.00285485919209068,"f"
"990","FBgn0193747","Scf_2L",1.37950510918609,0.0162700376224825,"m"
"991","FBgn0193748","Scf_2L",-0.265877889808968,0.0471775180521607,"f"
"992","FBgn0193761","Scf_2L",0.130145608729493,0.00108801049383159,"m"
"993","FBgn0193775","Scf_2L",-0.672802814429965,0.0108659946286733,"f"
"994","FBgn0193800","Scf_2L",0.33635722359807,0.00574219789280958,"m"
"995","FBgn0193803","Scf_2L",0.129673370822965,0.0387358233254908,"m"
"996","FBgn0193829","Scf_2L",-0.23669303175037,0.000272571249827592,"f"
"997","FBgn0193837","Scf_2L",-0.216751969296624,0.0199562406363256,"f"
"998","FBgn0193855","Scf_2L",-1.65770582682902,1.79069874766419e-10,"f"
"999","FBgn0193863","Scf_2L",-0.423079583369318,2.44528506106487e-16,"f"
"1000","FBgn0193881","Scf_2L",0.319490789314803,0.0466465121582448,"m"
"1001","FBgn0193905","Scf_2L",-0.161760722673304,0.0203431803571861,"f"
"1002","FBgn0193908","Scf_2L",0.179368319392592,0.00270737096541023,"m"
"1003","FBgn0193950","Scf_2L",-0.721498770749656,0.0325813622655364,"f"
"1004","FBgn0193951","Scf_2L",0.978601784006167,0.000664350759043632,"m"
"1005","FBgn0193976","Scf_2L",0.166048837600601,0.0164596261738543,"m"
"1006","FBgn0193978","Scf_2L",0.119591791013074,0.0014486852887441,"m"
