genes,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0184099,53.921719,57.869335,59.399796,55.995773,61.432419,56.551785,60.571674,55.810116,60.929253,56.265377,61.275852
FBgn0184100,66.197037,64.176392,58.770634,63.88588,56.087795,56.684898,65.695831,64.789589,68.051926,73.645248,76.8675
FBgn0184101,30.584352,31.842216,27.88998,30.572828,30.516481,26.633568,33.014221,25.048071,30.917196,31.786917,32.096214
FBgn0184102,0.033992,0.093803,0.138167,0,0.187311,0.128562,0.265712,0.123257,0,0.404251,0
FBgn0184103,0,0.049326,0,0,0,0.04795,0.037218,0,0.039378,0,0.054183
FBgn0184104,0.149562,0.099908,0.197499,0.024917,0,0.141282,0.056803,0.074878,0.059572,0,0.049549
FBgn0184106,2.824684,2.37052,2.402304,2.259115,2.196894,2.209546,2.935278,2.604915,1.895791,2.750725,2.374942
FBgn0184107,45.689842,40.595284,45.178013,146.548386,139.021378,125.003685,52.034962,47.953773,53.735325,127.961395,144.810089
FBgn0184108,23.370604,26.868864,27.366222,15.64237,16.288605,17.275995,26.702839,26.219503,27.429684,16.207415,14.718843
FBgn0184109,152.294235,162.976883,170.069092,155.399673,169.743454,173.665863,152.425644,160.100052,163.879776,163.468384,169.515503
FBgn0184110,0.280662,0.609635,0.565896,0.264399,0.097277,0.23825,0.49386,0.567676,0.509539,0.282217,0.297423
FBgn0184111,0.361124,0.644456,0.385655,0.384757,0.422757,0.626018,0.288301,0.404087,0.769867,0.816545,0.580167
FBgn0184112,0.096603,0,0,0,0,0,0,0.047952,0.069122,0.034814,0
FBgn0184113,0.345864,0.636017,0.620855,0.558247,0.880028,1.083765,0.51337,0.395352,0.346698,0.638558,0.504042
FBgn0184114,0,0.18113,0,0.052469,0.01639,0.056317,0.196972,0.289879,0.183513,0.135884,0.258448
FBgn0184115,4.688707,4.545921,4.426661,2.111127,2.605585,2.550042,9.21106,4.719993,6.910227,2.888878,3.482053
FBgn0184117,0.160175,0.196405,0.254059,0.335906,0.2999,0.289713,0.305673,0.297553,0.268761,0.419216,0.431681
FBgn0184118,0.287476,0.736488,0.494431,0.448585,0.543051,0.658877,0.700373,0.925374,0.267729,1.214037,0.456368
FBgn0184119,35.24992,43.688702,39.721813,34.569889,35.781979,50.947594,35.143486,39.419621,33.464035,35.457375,33.571789
FBgn0184120,25.001238,27.073696,27.424053,21.155693,21.101957,21.255667,26.534918,25.603455,26.970884,18.974655,17.403524
FBgn0184121,155.603424,174.924774,170.958969,151.788208,168.439804,172.573914,149.137665,165.590118,167.116684,149.362183,147.232101
FBgn0184122,2.479026,2.730831,1.902054,0.455112,0.682472,0.624454,1.394894,1.224936,0.840094,0.495879,0.376588
FBgn0184123,309.586304,333.961609,378.688293,292.804901,326.338318,288.883087,361.666107,363.323517,363.793152,292.665924,360.863434
FBgn0184124,41.344303,44.054878,40.016438,26.015987,27.988905,30.70426,38.079372,47.555218,42.858025,30.715889,29.329922
FBgn0184125,94.992775,96.586769,99.867332,128.692047,126.924271,113.623108,101.902359,92.897491,102.452629,113.288048,114.641373
FBgn0184127,13.170823,13.151498,13.441448,13.71423,12.639657,17.563578,11.162553,11.955701,11.543757,14.696726,10.666989
FBgn0184128,58.046303,70.529808,70.793831,48.837223,70.775261,87.222282,57.412075,65.326645,50.046425,68.872337,68.604492
FBgn0184129,0.33386,0.158865,0.256313,0.167597,0.413594,0,0.364403,0.253345,0.15659,0,0
FBgn0184130,2.577907,0.45491,0.989899,1.257574,2.230095,0.402433,2.790936,0.585773,0.279373,0.491497,0.705599
FBgn0184131,22.535305,25.526915,21.269896,23.420288,21.672239,30.516582,19.96681,22.652725,20.751308,23.672703,23.126019
FBgn0184132,12.044049,12.043554,14.702626,14.193459,14.779625,14.429147,13.439878,12.369543,12.265232,14.949839,15.553642
FBgn0184133,0.095001,0.361391,0.186646,0.01034,0.226988,0.183073,0,0.103848,0,0.015004,0
FBgn0184134,0.494944,0.861849,0.739449,0.172844,0.283495,0.074529,0.543757,0.568859,0.659763,0,0.553937
